,Longitude,Magnitude,MagType,NbStations,EventID
0,1.0,1.0,1,1.0,1.0
1,151.458,6.2,Ms,85.0,1970010640.0
2,178.568,6.1,Mb,59.0,1970010840.0
3,126.736999999999,6.1,Mb,91.0,1970011040.0
4,-152.66,6.0,ML,0.0,
5,-177.348999999999,6.5,Mb,175.0,1970012040.0
6,142.966,6.4,Ms,199.0,1970012040.0
7,-104.298,6.6,Ms,140.0,1970012140.0
8,166.37,6.4,Ms,91.0,1970012640.0
9,-99.48399999999991,6.5,Ms,100.0,1970020440.0
10,122.117,6.6,Ms,94.0,1970020540.0
11,100.775,6.1,Ms,57.0,1970020640.0
12,103.031,6.0,Ms,94.0,1970022440.0
13,-179.5898,6.0,ML,0.0,
14,-175.039999999999,6.1,ML,0.0,
15,143.706999999999,6.2,Ms,82.0,1970030440.0
16,168.603,6.5,Ms,61.0,1970030940.0
17,148.87,6.0,Mb,65.0,1970031040.0
18,-153.97,6.5,ML,0.0,
19,-69.49899999999991,6.0,Mb,118.0,1970031540.0
20,173.75,6.5,ML,0.0,
